sha256,refined_3d_prompt
0d3c6fd887bc4fa19e0acfbeb923efb555b3061a3918d2aef37bf01ca1854681,"Laguna Blue coupe, E46-inspired. Long hood, short deck, wide stance. Silver 5-spoke wheels, low profile tires. Circular headlights, kidney grille. Glossy paint, minimal chrome. Flush windows, subtle flares. Clean rear, quad taillights. UK plate. Studio lit, soft reflections."
0f9569a11fd883b0cb7ee6f5e870ea7af903e70fe4e272b52dbacaf2cb864faf,"Lime-green hypercar, low & wide. Wedge profile, aggressive splitter, hexagonal intakes. Glossy paint, carbon accents. Multi-spoke silver wheels, red calipers. Angular surfacing, sharp creases, minimalist taillights. Visible engine, orange interior. Studio lit, specular highlights. Exotic, aerodynamic."
0fd248727ea27b6d28d01cc0f62fce9f73d7c381219610a52805811817b8cb8e,"Bronze coupe, E21/E30 blend, boxy profile, long hood/short deck. Rectangular headlights, chrome trim, slim taillights. Silver steel wheels, white wall tires. Flat surfaces, minimal sculpting, upright C-pillar. Matte brown paint, subtle metallic flake. Damaged rear window. Studio lit, diffused highlights, 80s aesthetic."
12b241bd07c4d684312d993578709ff2c090aaf5cd0f518c94d10cb22e54fa28,"Creamy white coupe-SUV, fastback silhouette, long wheelbase. Gloss black roof/pillars, dark multi-spoke wheels. Integrated LED taillight bar, flush handles. Subtle silver trim, minimal chrome. Sculpted surfaces, soft reflections. Studio lit, emphasizing curvature. Aerodynamic, modern aesthetic."
1337d4667bd03411fe8fee9875e00e5717c0d91c1fd96028ea65cdb921dc34fa,"Yellow muscle coupe, low-poly. Long hood, short deck, wide stance. Black roof/hood scoop. Dark grey multi-spoke wheels. Aggressive front, recessed lights. Glossy paint, subtle vents. Rear spoiler, quad taillights. Studio lit, sharp reflections. Muscular flares, low profile. Dodge Challenger-inspired."
1460065dc363eb0d1eccc375ec35d7618e40a3155b64c97e5081c22bf3a242c6,"Silver 4-door coupe, fastback roofline, long wheelbase. Low profile, sculpted haunches. Dark multi-spoke wheels. Integrated LED taillight bar, dual exhaust. Glossy silver paint, chrome window trim. Flush handles, panoramic sunroof. Benz-esque grille, seamless headlights. Studio lit, soft reflections, aerodynamic."
159fe9e6a7575839d24aba6055f26d2439a0d171f0682d3fdc17cca7b8028038,"Black Cadillac Escalade. Boxy, long wheelbase SUV. Dark chrome grille/trim, vertical headlights/taillights. Gloss black paint, subtle metallic flake. Black multi-spoke wheels. Roof rails, panoramic sunroof. High beltline, minimal chrome. Studio lit—diffused reflections, sharp edges, precise panel gaps."
17a53839ae5da04c75ea21335d4bdc8ddc26b45f7bb9d0e18f5afaa397e43a17,"Silver BMW E90 sedan, long hood/short deck. Kidney grille, corona headlights, Hofmeister kink. 5-spoke alloys, glossy paint, soft reflections. Black roof, geometric pattern. Flush handles, dark trim. L-shaped taillights, subtle shoulder line. Studio lit, clean surfaces."
192773d92e80c95e8de063138f1eee4098f036ee2f521342b93d6ac6b5433f37,"Deep plum ‘90s wagon, boxy, long wheelbase, short overhangs. Gold 5-spoke wheels, thin tires. Black/chrome trim, flush lights, subtle spoiler. Gloss metallic paint, studio lit, emphasizing panel gaps & flake. JDM-inspired, Volvo 240-esque."
1bde7992fb2a44f4d2aaba9ca92e42f4f2bceb2ac0fa997ac91eab1c3370f91d,"Metallic grey coupe, long hood, short deck. BMW kidney grille, laser headlights, aggressive stance. Black multi-spoke wheels, red calipers. Sleek roofline, subtle spoiler. Glossy paint, sharp reflections, studio lighting. Muscular fenders, flush handles. Dark tinted windows, refined surfacing. M-sport aesthetic, aerodynamic form."
1c2c2b08224f0197b0f63f9866d2e417a5b2d25384cdc74809ed5530ae10d9de,"White rally car, boxy, short wheelbase, wide track. Martini Racing stripes (blue/red). Pop-up headlights, flat hood, squared arches. Black multi-spoke wheels, rally tires. Gloss paint, subtle gaps. Roof rack, “MARTINI RACING” decal. Studio lit, minimal reflections, 80s aesthetic. Lancia Delta inspired."
1cb23eba4b03cf096d8e5eeb232c0e7c41f195fd0bcbe7d3c991eba52da2dd37,"Azure blue sporty sedan, long hood/short deck, low profile. Aggressive front, bold grille. Sleek curves, deep-dish silver/red wheels. Gloss metallic paint, chrome trim. Red leather interior visible. Studio lit, specular highlights, aerodynamic stance. Muscular fenders, subtle diffuser. Performance brakes, low-profile tires. Flowing roofline, refined silhouette."
1cf28c3c6504bf9d782bbc6b31f30bb932484d2f155d2bbf1dea99640ee1d890,"Black, extended wheelbase SUV. Boxy, formal silhouette, high roofline. Chrome grille/roof rack, quad headlights. Dark tinted windows, alloy 6-spoke wheels. Glossy black paint, studio lit; emphasizes flat panels & sharp edges. Flag emblem. Presidential aesthetic."
1d3a0633803f740d8faedcaa930acea9d606bb96bcd225e12473e902a3dfe6cb,"’70s light-blue coupe, boxy, short deck/hood. Circular headlights, simple chrome bumpers. Steel wheels, tan sidewalls. Flat roof, high beltline. Glossy paint, soft studio lighting. Minimal sculpting, planar surfaces. Flush windows, subtle power bulge. Classic fastback profile, clean lines."
1e098fa44611e1812ad0c5c00e979a2e85f28279b2c5d4cfb680347856be66bf,"R32 Skyline, dark grey/black, geometric white camo hood/roof. Widebody, flared arches, low stance. Circular headlights, red taillights. Silver 5-spoke wheels, low-profile tires. Subtle rear spoiler, aggressive front lip. Glossy paint, studio lighting, sharp reflections. JDM, HKS."
20f59e15dd0d970d1c5986fe28d9ef6a18478af277e1606c10173f72b8c9ea14,"Pale blue coupe, low profile, long hood/short deck. Glossy paint, sharp lines, sculpted fenders. Dark grey multispoke wheels, red calipers. Black roof/trim, integrated spoiler. Audi-style grille, LED lights. Smooth surfacing, dynamic stance. Studio lit, soft reflections, athletic proportions."
23a50cff6b1b055ae2e749d32bd90162339a0ebd5e4df38299dc17ec5dd397b9,"Low, silver/grey supercar. Aggressive wedge shape, sharp creases, prominent red accents (splitter, diffuser). Dark multi-spoke wheels, low profile tires. Angular headlights, minimalist taillights. Glossy paint, carbon fiber details. Rear wing, central dual exhaust. Studio lit, clean reflections. Wide track, short wheelbase. Futuristic, aerodynamic."
23de391aa1ea615502781728a9fa682457d30a0d4054250523b96567407c4225,"Bright yellow mid-engine coupe, low & wide. Sculpted side intakes, prominent rear wing. Teal multi-spoke wheels, dark brake calipers. Glossy paint, smooth surfaces, subtle carbon accents. Short wheelbase, aggressive splitter. Dark tinted windows, integrated lighting. Studio lit, soft reflections. McLaren-inspired."
24212f48ef5894a343df70a8320e1c4e4f63e5ed7b50d0cf018ba7d811388f08,"Turquoise Porsche 911 GT3, low-slung, widebody. Short overhangs, long hood, active rear spoiler. Dark multi-spoke wheels. Glossy paint, sharp creases. Aggressive intakes, black accents. Studio lit, smooth reflections. Minimal chrome. Compact wheelbase."
24f102f785909e1e258f65094e928641b341d3445b88b2847dda6c705b046ca9,"Deep mythos blue RS6 Avant. Long, low fastback wagon. Singleframe grille, laser headlights, dark chrome. Black multi-spoke wheels, red calipers. Glossy finish, sharp creases, subtle flake. Integrated spoiler, quad exhaust. Studio lit, dynamic reflections. Sculpted fenders, athletic stance."
2611c9b7e07c14ac590c9dded5b7664a3e18cf9e3c27a8b45931e90521fde19b,"Aggressive Urus-inspired SUV, matte black, widebody. Low stance, short overhangs, sharp hexagonal headlights, prominent splitter/diffuser. Dark multi-spoke wheels, yellow calipers. Carbon fiber accents, subtle camo. Studio lighting, faceted surfacing, high detail. 1:1.7 ratio."
2691e9c3f38b9bda20480efe1d161dbaad22cd8005498c51d91ec5bb48002066,"Boxy blue SUV, short overhangs, tall greenhouse. Matte sky-blue paint, black roof rails, dark grey multi-spoke wheels. Prominent grille, angular headlights, black cladding. Rugged, utilitarian, Toyota 4Runner-esque. Studio lit, minimal chrome, flat panels. High beltline."
277cb1b4712e0048df5719cf89b6fe67456fc483046ccb8ec787d6902b16e465,"Bright yellow coupe, low & wide. Long hood, short deck, aggressive haunches. Black roof, dark tinted glass. Bronze 10-spoke wheels, orange calipers. Glossy paint, subtle kit. Sharp headlights, dual exhaust. Studio lit, smooth reflections. Compact, 2000s JDM-inspired. Defined character line."
285b0ac9ae3a92804c4ca5731d2b3cf16555e2b706ac9e95b3561042b93e67b5,"Low-slung hypercar, silver/black bi-tone. Wedge profile, long hood, short deck. Seamless body, sharp creases, subtle shoulder line. Dark multi-spoke wheels, red calipers. Minimal rear wing, integrated brake lights. Matte silver, glossy black accents. Low cabin, panoramic roof. Studio lit, smooth reflections, aggressive stance."
36702b26c2507eb3227f205cdd59318370f905c63f8b3982439e81aac3383b35,"Glossy white coupe, low-slung, mid-engine. Wedge profile, short overhangs, long hood. Singleframe grille, circular headlights. Silver 5-spoke wheels, wide track. Sideblade accent, rear diffuser, dual exhaust. Smooth surfaces, minimal trim. Studio lighting, sharp reflections. Audi R8-inspired."
391629b58647cd7e869227dfc9c2d1ac101a65517cbcf4622fbfa414defcaf2b,"Aggressive wedge hypercar. Matte dark grey body, teal accents (wheels, intakes, diffuser). Low profile, wide stance, short overhangs. Sharp angles, minimal gaps. Carbon fiber splitter/wing. Complex multi-spoke wheels. Studio lit, high-gloss/matte contrast. Smooth surfacing."
39845e7407e521802c2d9532647e2f15db664b950c8042fbc4a9392fc69856b9,"Red Ferrari, glossy paint, classic sports car. Rounded headlights, prominent grille, circular taillights. Low profile, long hood/short deck. Silver 5-spoke wheels. Studio lighting, specular highlights.
Black Ferrari, matte finish, aggressive wedge. Angular design, red accent wheels, rear wing, side intakes. Low stance, sharp lines, complex mesh. Studio lighting, subtle reflections."
3a1e8b2d18d96e6a234daadbaa61e70767f5a588f179e782903e49e732f11448,"Matte black Porsche 911 (930) Turbo. Low, wide stance, flared fenders, prominent whale tail. Fuchs wheels, dark silver. Pop-up headlights, flat nose. Minimal chrome, flush doors. Long wheelbase, subtle flares. Studio lit, soft shadows, precise edges. Classic sports car proportions."
3b091b04f9659a523dd1012b4521817268d57780bdc5accd6664e0cad56d6ead,"Sleek white sports car, aggressive low stance. Wedge profile, sharp creases, pronounced intakes. Bronze multi-spoke wheels, carbon fiber aero. Glossy finish, dark tinted windows. Dramatic lighting, specular highlights. Long hood, short deck. Wide track, large rear wing. Y-motif lighting, angular details. Visible panel gaps. Minimal branding."
3b4f3d332f42394d08aaad78f1c9baf064853a3924091b783842dc4bbf2098fa,"Low-slung silver coupe, fastback profile, long hood. Curvilinear body, prominent headlights, subtle spoiler. 5-spoke alloy wheels, yellow calipers. Glossy paint, chrome window trim. Smooth surfaces, clean lines. Studio lighting, specular highlights. Aerodynamic, sporty stance. Reflective, metallic finish."
3b86caeb684302098df7ff181376385ebdd7cc9fefb201a3ac0e5e87aa079216,"Gloss silver hypercar, low profile, long hood. Aggressive splitter, rear diffuser, side intakes. 5-spoke wheels, yellow calipers. Gloss metallic paint, sharp creases, minimal gaps. Studio lit, reflective surfaces. Dark underbody, carbon accents. Organic surfacing, short overhangs. Pagani-esque."
3c6d81dac34aab7aa937d6f266ab1bdcb99dade7b3d6210ba4b923d5adee1a7b,"Matte black, widebody supercar. Low profile, aggressive aero—splitter, skirts, wing. Circular headlights, hexagonal intakes. Silver multi-spoke wheels, low-profile tires. Carbon fiber accents, sharp creases. Short deck, long hood. Studio lit, defined reflections. Track-focused stance."
3cfa477bcf6a7fb600a8ca69d0b1ca39c35f7f616d469b5c325c56dcc1f3d3d7,"Dark grey metallic 4dr GT coupe. Long wheelbase, short overhangs. Aggressive fascia, pixelated headlights, full-width taillight. Flush handles, low profile tires, multi-spoke wheels/red calipers. Subtle chrome, smooth surfacing, fastback roof. Studio lit, soft reflections. Audi e-tron GT inspired."
3e098f2133a65c085f5322779b9c9eb69e4e45a6d632f083b095c6b558d282c2,"White Mercedes-Benz C-Class (W205), long hood, short deck, cab-rearward. Flush handles, subtle chrome windowline. Multi-spoke silver wheels, low profile tires. Glossy paint, soft studio lighting. Angular headlights, integrated DRLs. Minimal badging, clean surfaces. Formal sedan stance."
3e3ce07484a1e5db098e349b39e5561bdb45acaa162c38a42c25db46474e3963,"White Jeep Grand Cherokee, boxy SUV, short overhangs, long hood. 7-slot grille, dark wheels, red calipers. Glossy paint, chrome/black trim. High roofline, panoramic sunroof. Studio lit, diffuse reflections. Muscular fenders, wide track. Modernized WK2 proportions. Detailed headlights/taillights."
3e5caa8e65e3e5325822de9c5ff7198cd4959b38f452de6fc9a75e8b9d8e2a78,"Metallic grey compact hatchback. Aggressive, low stance. Short overhangs, long hood, fastback roofline. AMG-inspired grille, splitter, side skirts. Dark multi-spoke wheels, red calipers. Integrated spoiler, quad exhaust. Matte/gloss mix. Studio lit, sharp reflections. A-Class proportions, defined lines. Minimal chrome."
3edd934c7ab3d5edc782a6190d8b550e0282d8950d702b40ef882ca62d43bcab,"White S197 Mustang, dual electric blue racing stripes. Aggressive stance, short deck, long hood. Dark grey multi-spoke wheels, low profile tires. Glossy paint, chrome accents. Angled headlights, sequential taillights. Rear spoiler, side skirts. Studio lit, sharp reflections. Muscular fenders."
3fac6d9a128cc56affb86bbb6655ea560cb5399454c60e6ef949c5c1a35d6829,"Aggressive blue rally car, ~4.5m. Circular headlights, prominent hood scoop, short deck. Gold 5-spoke wheels, low profile tires. Rear wing, simple taillights. Matte finish, wide stance, compact wheelbase. Minimal chrome, clean surfaces, stylized render. Studio lit."
3fd93b1bdde7c7e1229628a2dc88fe22112c63c6e2e13bdd5947fc1fa6577ff3,"Matte silver CUV, fastback roof, short overhangs. Aggressive fascia, sharp headlights. Flush handles, black cladding. 5-split spoke wheels, machined face. High beltline, angled C-pillar. Subtle spoiler, full-width taillight. Studio lit, soft shadows, minimal chrome. Toyota-inspired grille."
400b1bb89afa9bd8c88cec455028568ed5687178f8385aca02f8ab0a797dc7b9,"Crimson hypercar. Wedge silhouette, low-slung. Angular front, mesh intakes, blade splitter. Gloss red paint, silver multi-spoke wheels. Sculpted sides, rear diffuser, subtle wing. Panoramic glass roof. Sharp creases, defined edges. Studio lit, specular highlights. Low profile, wide track. Aggressive stance."
406285a5591f33411243045d4b52a96cc483ee95dd6484fe5609f52705b49dd5,"Vibrant blue mid-engine coupe, FD RX-7 inspired. Wedge profile, low stance, long hood/short deck. Retracted pop-up headlights, integrated splitter. 5-spoke silver wheels, low-profile tires. Subtle rear wing, circular taillights. Gloss metallic paint, studio lighting, defined reflections. Wide track, flush surfacing."
419d14ff292f7dea809d550eaad558ba07f1095355d70b4850c99023e81585c4,"Aggressive GT racecar, dark grey/yellow livery, #4. Low, wide stance, prominent splitter, large rear wing. Carbon fiber accents, matte finish. Black multi-spoke wheels, Michelin tires. Detailed sponsor decals. Sharp edges, sculpted intakes, central exhaust. Studio lit, specular highlights, realistic textures."
443840b79ee27b48ff8dfd51b0590e2271ba2b24365cbe93d3986571bc3b46a3,"Giallo Ferrari roadster, low-slung, aggressive stance. Short deck, long hood, sculpted intakes. Carbon fiber splitter, black roof. Forged gold 5-spoke wheels. Glossy paint, studio lit, sharp speculars. Defined haunches, quad exhaust. Open-top, visible roll-bar. Ferrari Roma-inspired, dynamic surfacing."
4518154c9351cccfd2b9cf6813b708b700c3ac818a99d6962c036da4602653df,"Glossy black hypercar, low-slung, aggressive wedge profile. Long hood, short overhangs, dramatic rear wing. Carbon fiber accents, quad exhaust, multi-spoke silver wheels. Sharp creases, minimal surfacing, studio lighting. High contrast, detailed reflections, aerodynamic sculpting."
45506e0336aebf39488601959233820f4e3de1da6d323bae8dd188424c53854d,"Crimson fastback coupe, aggressive stance, short deck/long hood. Black multi-spoke wheels, low profile tires. Gloss paint, minimal chrome. Angular headlights, quad circular taillights. Muscular fenders, subtle rear spoiler. Studio lit, sharp reflections, Camaro-esque."
47cab4334edd92aa46afc3e60f6e068de760288c618534650bb84f0538b85649,"White boxy coupe, short deck, high roof. Flat planes, minimal curves. Rectangular headlights/taillights, dark tint. Silver mesh wheels, low profile tires. Black lower body trim. Glossy paint, clean reflections. 80s Japanese compact, Toyota-esque. Studio lit, geometric."
49ababe7afb30be59feeb2aab0b4524b0c5ea4735b38d37830050ff8807233b8,"Azure blue sedan, moderate wedge profile, long wheelbase. Rounded contours, high shoulder line. 5-spoke silver wheels, flush door handles. Red taillight strip, subtle spoiler. Glossy paint, soft studio lighting, minimal chrome. Clean surfacing, Ford Fusion-inspired."
4a88e7b59b748732707a4794571a98bb07d7c02ad03e87543e53f4adf489f227,"Coral red Audi Sportback, low fastback, long wheelbase. Singleframe grille, minimal chrome. Complex silver wheels, dark tint. Flush handles, subtle kit. Glossy paint, soft studio light, sculpted shoulders. Integrated spoiler, LED taillight bar. Dynamic, clean surfacing."
4b87e4f4cd4b4d7f4ec0c1ac186a0054be9f414a7419181b4c0c3452c6709452,"Glossy white, low-slung wedge. Aggressive front, Y-lights. Short overhangs, long hood. Black multi-spoke wheels, wide track. Carbon splitter, sharp creases. Rear wing, quad exhaust. Studio lit, high reflectivity. Minimal chrome. Lamborghini Aventador-inspired. Dramatic haunch, high shoulder. Clean edges, flush handles. Smooth surfaces, dynamic angles. Compact wheelbase."
4c08a9904c1e67bf1189311650ccfdcdbfe99e033457c7952aab9af050591366,"Silver Honda Accord sedan, long wheelbase, low roof. Chrome window trim, defined character line. 5-spoke alloy wheels, polished. Angular headlights/taillights, subtle spoiler. Glossy metallic paint, studio lit reflections. Clean, modern sedan. Four-door, panoramic sunroof."
4e2cefedbbff4993bc3f545df8887871927df370af2bf7f9f47a4118472bf863,"Azure Jeep Grand Cherokee, boxy profile, long wheelbase. Dark grey wheels, red taillights, black roof rails. Glossy cyan paint, subtle chrome trim. Studio lit, clean reflections. Rugged stance, flush handles, minimalist kit. High-poly, sharp details."
4e3fead5556f923e31ff0d79a2615a346aa175c5756fa653bc2af10f8f910e99,"**Prompt:**

Yellow, aggressive SUV. Low profile, wide track. Hexagonal grille, Y-motif lights. Gloss black trim, carbon splitter. Muscular fenders, rising beltline. Dark wheels, red calipers. Fastback roof, sleek hatch. Studio light, sharp reflections. Defined creases, detailed surfacing. Sporty stance. Urus-inspired."
4ecee38905cff21b244dee99c8cd664451fcedbc4325e6bf58d0ab53a988acdd,"Crimson red, low-slung coupe. Short wheelbase, wide track. Fluid body, fastback roof, subtle spoiler. Circular headlights, integrated fog. Dark 5-spoke wheels, low profile tires. Glossy paint, minimal chrome. Aggressive stance, RX-8 inspired. Studio lit, soft reflections."
4ee528dedb30bae7098b854f46d2fcd45705bbc34bf47168ede873a7f256a1b8,"White sports coupe, low profile, long hood/short deck. Aggressive stance, angular headlights, black multi-spoke wheels. Glossy paint, minimal chrome. Subtle rear spoiler, flush door handles. Studio lit, clean reflections. Aerodynamic vents, high beltline. Modern, sleek form. ~4.5m length, wide track. Precise panel gaps."
4f0e8fe23f6bdc119ee773c3e7f796e90ee41fed1066be8a58d215599849c74c,"Classic VW Beetle, teal/beige two-tone, rounded silhouette, short wheelbase, high roof. Chrome bumpers, circular headlights, whitewall tires, steel rims. Glossy paint, subtle reflections, studio lighting. Split windshield, minimal trim, iconic bug shape. Polished hubcaps."
4f3ec383b934b94a6c252a2ae429367ee2608cb034ad9591408ddd214c61662c,"Crimson hypercar. Wedge shape, short overhangs, long hood. Sharp creases, smooth surfacing. Dark grey multi-spoke wheels. Glossy metallic paint. Angular headlights/taillights. Flush handles, subtle spoiler. Studio lit, clean reflections. Low-slung, aggressive stance. Geometric."
4fbe049910fa6657f2c872ad2a1093ff0a58b1a1610d0473a56e46a24427e73b,"Vibrant purple supercar, Lamborghini-esque. Low, wide stance, aggressive aero. Hexagonal headlights, sharp creases, carbon fiber splitter/wing. Glossy purple body, matte black roof/hood. Dark grey multi-spoke wheels. Red accent stripe. Studio lit, specular highlights, defined edges. Short wheelbase. Y-shaped taillights."
4fecf9c81967d71db9678f69c17459c4bd1667790139244339709f87c4e19fed,"Red, low-slung hypercar. Wedge shape, short overhangs, wide track. Glossy Rosso Corsa paint. Circular headlights, aggressive intakes. Dark multi-spoke wheels. Prominent rear wing, central dual exhaust. Smooth surfacing, minimal gaps. Studio lighting, specular highlights. Compact cabin, low roofline. Mid-engine layout."
50329ca5e143b5027c2a412916cfdad8c335179d8ac72fb6a1b8ce8b190577c3,"Dark grey matte mid-engine coupe. Low, wide stance, short overhangs. Hex grille, laser headlights, red calipers, 5-spoke silver wheels. Sideblade, sculpted fenders, aggressive diffuser. Gloss black roof, panoramic glass. Studio lit, sharp creases, realistic reflections. R8-inspired."
51d096523c8a9b7b95d357c90f02d4d8abbf9617b7ed05427aedc3bb442c813d,"Aggressive grey SUV; sharp lines, short overhangs, long hood. Black roof/accents. Y-shaped headlights, hexagonal grille. Large dark multi-spoke wheels. Carbon fiber splitter/diffuser. Matte metallic finish, dynamic stance. Studio lit, high detail."
57a02ef90f524d4755bdaa8e3909c72a04fd1929d92cca0a7ebc388b109ae7d2,"C8 Corvette, arctic white. Low, wide, mid-engine. Wedge profile, aggressive intakes, short overhangs. Black multi-spoke wheels, low tires. Angular headlights/taillights, quad exhaust. Glossy paint, sculpted surfaces, studio lit. Minimal chrome, dark accents. Fastback roofline, high beltline."
58ffae2837c99f0a363d994ed19a52749415c6fa0a20da3319ea1d7a5bf0a7a5,"Compact, boxy hatchback, ~2.3m wheelbase, ~1.6m width. Matte white, subtle flake. Circular headlights, rectangular bezels. Steel wheels, silver hubcaps. Black trim, flush doors. High roof, short overhangs, angular C-pillar. 80s Euro, soft studio light."
5aef59e0e803267d501f1d384f8d3df888a1cff2f93945df97681df255dd816e,"White compact SUV, short overhangs, high beltline. Angular headlights, prominent grille, subtle chrome. 5-spoke silver wheels, flush handles. Glossy paint, clean surfacing. Studio lit, neutral background. Wedge profile, sporty stance. Ratio ~1.7:1. Minimal ornamentation, modern aesthetic."
5b05c2ace56da2731e49e2d212502d971e4680c4e4cb6ff47eb25f27e2f4260f,"White, low-slung GT coupe. Wide track, long wheelbase. Aggressive splitter, prominent rear wing. Dark multi-spoke wheels, red calipers. Gloss white paint, matte black hood/roof. Flush handles, minimal chrome. Studio lit, smooth reflections. AMG-inspired, Panamericana grille. Defined creases, sculpted fenders."
5b79ba0305c3f216593f6c9e00eb18dda6b75b2dcd7a5cee6c962aae3c13bc5d,"Metallic lavender coupe, low & wide. Short wheelbase, long hood, rounded fenders. Pop-up headlights, circular taillights. Dark 5-spoke wheels, low profile tires. Glossy paint, studio lit, smooth surfaces. Subtle rear spoiler, minimal chrome. Aggressive stance, JDM inspired."
5e74c02ae6ad0fb7fe765ae01f593d5ddeadd3e6a68099d6ee743951e4d3d94d,"Bright yellow VW Golf Mk7.5, 5-door hatch. Short overhangs, long wheelbase. Glossy paint, silver 5-spoke alloys, chrome trim. Horizontal headlights/taillights, subtle spoiler. Flush handles, VW badge centered. Studio light, clean reflections, neutral background. Modern hatchback."
5ea38fcfb8344ae5696cd03f3180d1be2b18a0ddd8025c2494af81e6120fcbb4,"Matte gray SUV, boxy silhouette, high beltline. Dark multi-spoke wheels, flush handles, minimal chrome. Angular headlights, prominent grille, roof rails. Short overhangs, upright stance, defined D-pillar. Studio lit, balanced shadows, neutral background. ~4.8m long, rugged aesthetic."
6139485abbca66f2c203728ddd74974e4c0eaef20cc33d2d93477cdf6bdbb3cb,"Rosso red compact coupe, short wheelbase, wide stance. Smooth, glossy surfacing, minimal gaps. Circular headlights, low trapezoidal grille. Flush handles, black pillars. 5-spoke wheels. Studio lit, soft reflections, emphasizing form. Alfa Romeo GT-esque."
